"Curve","Ci","Photo","Tleaf","PARi","adult"
"25_7_3",1419.852595,24.7062059,25.13231659,1800.829834,0
"25_7_3",236.110354,11.32160116,25.16752243,1799.103882,0
"20_7_5",240.8567822,16.20364821,25.59516525,1801.47876,0
"20_7_5",51.35509562,-0.258974805,25.14603615,1799.407104,0
"20_7_5",77.29997652,2.381579331,24.88672256,1799.720215,0
"20_7_5",103.7011313,5.257311447,24.88347244,1799.620728,0
"20_7_5",151.8378114,9.650434401,24.88384247,1799.249512,0
"20_7_5",215.1666672,14.67208603,24.8654232,1800.91626,0
"20_7_5",266.9304483,17.80356763,24.75666046,1799.994385,0
"20_7_5",474.0628668,22.9215872,24.54254341,1801.324341,0
"20_7_5",693.5439442,25.12586348,25.03977585,1799.145264,0
"20_7_5",966.8663343,26.43386454,25.24375153,1800.188599,0
"20_7_5",1248.757864,26.78366914,25.0541935,1800.909546,0
"20_7_5",1336.812343,26.98116809,25.04763412,1800.441895,0
"20_7_5",1523.212975,26.73278563,24.91002083,1799.404053,0
"20_7_5",251.6152795,16.03908666,25.04582787,1799.192139,0
